miRNA,lncRNA
hsa-miR-195-5p,C1RL-AS1
hsa-miR-216b-5p,C1RL-AS1
hsa-miR-326,C1RL-AS1
hsa-miR-330-5p,C1RL-AS1
hsa-miR-424-5p,C1RL-AS1
hsa-miR-497-5p,C1RL-AS1
hsa-let-7a-5p,KLRK1-AS1
hsa-let-7b-5p,KLRK1-AS1
hsa-let-7c-5p,KLRK1-AS1
hsa-let-7d-5p,KLRK1-AS1
hsa-let-7e-5p,KLRK1-AS1
hsa-let-7f-5p,KLRK1-AS1
hsa-let-7g-5p,KLRK1-AS1
hsa-let-7i-5p,KLRK1-AS1
hsa-miR-136-5p,KLRK1-AS1
hsa-miR-379-5p,KLRK1-AS1
hsa-miR-4458,KLRK1-AS1
hsa-miR-98-5p,KLRK1-AS1
hsa-miR-194-5p,RASSF8-AS1
hsa-miR-31-5p,RASSF8-AS1
hsa-miR-590-3p,RASSF8-AS1
hsa-miR-599,RPAP3-DT
hsa-miR-18a-5p,BCDIN3D-AS1
hsa-miR-18b-5p,BCDIN3D-AS1
hsa-miR-106a-5p,HOTAIR
hsa-miR-106b-5p,HOTAIR
hsa-miR-130a-3p,HOTAIR
hsa-miR-130b-3p,HOTAIR
hsa-miR-148a-3p,HOTAIR
hsa-miR-148b-3p,HOTAIR
hsa-miR-152-3p,HOTAIR
hsa-miR-17-5p,HOTAIR
hsa-miR-19a-3p,HOTAIR
hsa-miR-19b-3p,HOTAIR
hsa-miR-206,HOTAIR
hsa-miR-20a-5p,HOTAIR
hsa-miR-20b-5p,HOTAIR
hsa-miR-214-3p,HOTAIR
hsa-miR-221-3p,HOTAIR
hsa-miR-222-3p,HOTAIR
hsa-miR-301a-3p,HOTAIR
hsa-miR-326,HOTAIR
hsa-miR-330-5p,HOTAIR
hsa-miR-3619-5p,HOTAIR
hsa-miR-4295,HOTAIR
hsa-miR-454-3p,HOTAIR
hsa-miR-519d-3p,HOTAIR
hsa-miR-613,HOTAIR
hsa-miR-761,HOTAIR
hsa-miR-93-5p,HOTAIR
hsa-miR-361-5p,GIHCG
hsa-miR-499a-5p,GIHCG
hsa-miR-590-3p,GIHCG
hsa-miR-224-5p,LINC02820
hsa-miR-411-5p,BTG1-DT
hsa-miR-370-3p,LINC02397
hsa-miR-320b,TMPO-AS1
hsa-miR-320c,TMPO-AS1
hsa-miR-320d,TMPO-AS1
hsa-miR-4429,TMPO-AS1
hsa-miR-7-5p,TMPO-AS1
hsa-miR-361-5p,LINC00485
hsa-miR-182-5p,LINC02457
hsa-miR-23a-3p,LINC02457
hsa-miR-23b-3p,LINC02457
hsa-miR-182-5p,LINC00173
hsa-miR-23a-3p,LINC00173
hsa-miR-23b-3p,LINC00173
hsa-miR-130a-3p,LINC01089
hsa-miR-130b-3p,LINC01089
hsa-miR-148a-3p,LINC01089
hsa-miR-148b-3p,LINC01089
hsa-miR-152-3p,LINC01089
hsa-miR-192-5p,LINC01089
hsa-miR-215-5p,LINC01089
hsa-miR-27a-3p,LINC01089
hsa-miR-27b-3p,LINC01089
hsa-miR-301a-3p,LINC01089
hsa-miR-30a-5p,LINC01089
hsa-miR-30b-5p,LINC01089
hsa-miR-30c-5p,LINC01089
hsa-miR-30d-5p,LINC01089
hsa-miR-30e-5p,LINC01089
hsa-miR-4295,LINC01089
hsa-miR-454-3p,LINC01089
hsa-miR-143-3p,LINC00944
hsa-miR-199a-5p,LINC00944
hsa-miR-199b-5p,LINC00944
hsa-miR-544a,FZD10-AS1
hsa-miR-30a-5p,TPT1-AS1
hsa-miR-30b-5p,TPT1-AS1
hsa-miR-30c-5p,TPT1-AS1
hsa-miR-30d-5p,TPT1-AS1
hsa-miR-30e-5p,TPT1-AS1
hsa-miR-324-5p,TPT1-AS1
hsa-miR-30a-5p,DLEU2
hsa-miR-30b-5p,DLEU2
hsa-miR-30c-5p,DLEU2
hsa-miR-30d-5p,DLEU2
hsa-miR-30e-5p,DLEU2
hsa-miR-374a-5p,DLEU2
hsa-miR-374b-5p,DLEU2
hsa-miR-181a-5p,INTS6-AS1
hsa-miR-181b-5p,INTS6-AS1
hsa-miR-181c-5p,INTS6-AS1
hsa-miR-181d-5p,INTS6-AS1
hsa-miR-223-3p,INTS6-AS1
hsa-miR-411-5p,INTS6-AS1
hsa-miR-4262,INTS6-AS1
hsa-miR-125a-3p,MIR4500HG
hsa-miR-186-5p,MIR4500HG
hsa-miR-421,MIR4500HG
hsa-miR-130a-3p,MIR17HG
hsa-miR-130b-3p,MIR17HG
hsa-miR-144-3p,MIR17HG
hsa-miR-153-3p,MIR17HG
hsa-miR-155-5p,MIR17HG
hsa-miR-223-3p,MIR17HG
hsa-miR-301a-3p,MIR17HG
hsa-miR-302a-3p,MIR17HG
hsa-miR-302b-3p,MIR17HG
hsa-miR-302c-3p,MIR17HG
hsa-miR-302d-3p,MIR17HG
hsa-miR-302e,MIR17HG
hsa-miR-372-3p,MIR17HG
hsa-miR-373-3p,MIR17HG
hsa-miR-377-3p,MIR17HG
hsa-miR-421,MIR17HG
hsa-miR-4295,MIR17HG
hsa-miR-454-3p,MIR17HG
hsa-miR-520a-3p,MIR17HG
hsa-miR-520c-3p,MIR17HG
hsa-miR-520d-3p,MIR17HG
hsa-miR-590-3p,MIR17HG
hsa-miR-144-3p,DNAJC3-DT
hsa-miR-27a-3p,DNAJC3-DT
hsa-miR-27b-3p,DNAJC3-DT
hsa-miR-485-5p,COL4A2-AS2
hsa-miR-485-5p,LINC01070
hsa-miR-383-5p,RASA3-IT1
hsa-miR-153-3p,LINC00641
hsa-miR-194-5p,LINC00641
hsa-miR-197-3p,LINC00641
hsa-miR-200b-3p,LINC00641
hsa-miR-200c-3p,LINC00641
hsa-miR-206,LINC00641
hsa-miR-320b,LINC00641
hsa-miR-320c,LINC00641
hsa-miR-320d,LINC00641
hsa-miR-370-3p,LINC00641
hsa-miR-378a-3p,LINC00641
hsa-miR-378b,LINC00641
hsa-miR-378c,LINC00641
hsa-miR-378e,LINC00641
hsa-miR-378h,LINC00641
hsa-miR-378i,LINC00641
hsa-miR-422a,LINC00641
hsa-miR-425-5p,LINC00641
hsa-miR-429,LINC00641
hsa-miR-4429,LINC00641
hsa-miR-539-5p,LINC00641
hsa-miR-613,LINC00641
hsa-miR-125a-5p,PRMT5-DT
hsa-miR-125b-5p,PRMT5-DT
hsa-miR-183-5p,PRMT5-DT
hsa-miR-193a-3p,PRMT5-DT
hsa-miR-193b-3p,PRMT5-DT
hsa-miR-328-3p,PRMT5-DT
hsa-miR-125a-5p,ZFHX2-AS1
hsa-miR-125b-5p,ZFHX2-AS1
hsa-miR-370-3p,ZFHX2-AS1
hsa-miR-485-5p,ZFHX2-AS1
hsa-miR-10a-5p,AP1G2-AS1
hsa-miR-10b-5p,AP1G2-AS1
hsa-miR-150-5p,AP1G2-AS1
hsa-miR-338-3p,AP1G2-AS1
hsa-miR-139-5p,DHRS4-AS1
hsa-miR-140-5p,DHRS4-AS1
hsa-miR-143-3p,DHRS4-AS1
hsa-miR-148a-3p,DHRS4-AS1
hsa-miR-148b-3p,DHRS4-AS1
hsa-miR-152-3p,DHRS4-AS1
hsa-miR-197-3p,DHRS4-AS1
hsa-miR-204-5p,DHRS4-AS1
hsa-miR-211-5p,DHRS4-AS1
hsa-miR-221-3p,DHRS4-AS1
hsa-miR-222-3p,DHRS4-AS1
hsa-miR-24-3p,DHRS4-AS1
hsa-miR-326,DHRS4-AS1
hsa-miR-330-5p,DHRS4-AS1
hsa-miR-33a-5p,DHRS4-AS1
hsa-miR-33b-5p,DHRS4-AS1
hsa-miR-340-5p,DHRS4-AS1
hsa-miR-411-5p,DHRS4-AS1
hsa-miR-431-5p,DHRS4-AS1
hsa-miR-491-5p,DHRS4-AS1
hsa-let-7a-5p,G2E3-AS1
hsa-let-7b-5p,G2E3-AS1
hsa-let-7c-5p,G2E3-AS1
hsa-let-7d-5p,G2E3-AS1
hsa-let-7e-5p,G2E3-AS1
hsa-let-7f-5p,G2E3-AS1
hsa-let-7g-5p,G2E3-AS1
hsa-let-7i-5p,G2E3-AS1
hsa-miR-15a-5p,G2E3-AS1
hsa-miR-15b-5p,G2E3-AS1
hsa-miR-16-5p,G2E3-AS1
hsa-miR-195-5p,G2E3-AS1
hsa-miR-424-5p,G2E3-AS1
hsa-miR-4458,G2E3-AS1
hsa-miR-497-5p,G2E3-AS1
hsa-miR-98-5p,G2E3-AS1
hsa-miR-216b-5p,BAZ1A-AS1
hsa-miR-496,LINC01588
hsa-miR-153-3p,KTN1-AS1
hsa-miR-23a-3p,KTN1-AS1
hsa-miR-23b-3p,KTN1-AS1
hsa-miR-505-3p,KTN1-AS1
hsa-miR-142-3p,PSMA3-AS1
hsa-miR-144-3p,PSMA3-AS1
hsa-miR-205-5p,PSMA3-AS1
hsa-miR-218-5p,PSMA3-AS1
hsa-miR-320b,PSMA3-AS1
hsa-miR-320c,PSMA3-AS1
hsa-miR-320d,PSMA3-AS1
hsa-miR-382-5p,PSMA3-AS1
hsa-miR-4429,PSMA3-AS1
hsa-miR-448,PSMA3-AS1
hsa-miR-431-5p,PCNX4-DT
hsa-miR-206,PRKCH-AS1
hsa-miR-433-3p,PRKCH-AS1
hsa-miR-613,PRKCH-AS1
hsa-miR-214-3p,VASH1-AS1
hsa-miR-326,VASH1-AS1
hsa-miR-330-5p,VASH1-AS1
hsa-miR-3619-5p,VASH1-AS1
hsa-miR-761,VASH1-AS1
hsa-miR-370-3p,FOXN3-AS1
hsa-miR-154-5p,SNHG10
hsa-miR-219a-5p,MEG3
hsa-miR-361-5p,MEG3
hsa-miR-7-5p,MEG3
hsa-miR-15a-5p,MEG8
hsa-miR-15b-5p,MEG8
hsa-miR-16-5p,MEG8
hsa-miR-195-5p,MEG8
hsa-miR-424-5p,MEG8
hsa-miR-497-5p,MEG8
hsa-miR-185-5p,LINC00638
hsa-miR-216b-5p,LINC00638
hsa-miR-4306,LINC00638
hsa-miR-136-5p,SNHG14
hsa-miR-181a-5p,SNHG14
hsa-miR-181b-5p,SNHG14
hsa-miR-181c-5p,SNHG14
hsa-miR-181d-5p,SNHG14
hsa-miR-206,SNHG14
hsa-miR-25-3p,SNHG14
hsa-miR-32-5p,SNHG14
hsa-miR-340-5p,SNHG14
hsa-miR-363-3p,SNHG14
hsa-miR-367-3p,SNHG14
hsa-miR-376c-3p,SNHG14
hsa-miR-382-5p,SNHG14
hsa-miR-425-5p,SNHG14
hsa-miR-4262,SNHG14
hsa-miR-433-3p,SNHG14
hsa-miR-543,SNHG14
hsa-miR-613,SNHG14
hsa-miR-92a-3p,SNHG14
hsa-miR-92b-3p,SNHG14
hsa-miR-154-5p,RAD51-AS1
hsa-miR-29a-3p,RAD51-AS1
hsa-miR-29b-3p,RAD51-AS1
hsa-miR-29c-3p,RAD51-AS1
hsa-miR-128-3p,OIP5-AS1
hsa-miR-129-5p,OIP5-AS1
hsa-miR-1297,OIP5-AS1
hsa-miR-140-5p,OIP5-AS1
hsa-miR-141-3p,OIP5-AS1
hsa-miR-143-3p,OIP5-AS1
hsa-miR-148a-3p,OIP5-AS1
hsa-miR-148b-3p,OIP5-AS1
hsa-miR-152-3p,OIP5-AS1
hsa-miR-153-3p,OIP5-AS1
hsa-miR-155-5p,OIP5-AS1
hsa-miR-183-5p,OIP5-AS1
hsa-miR-186-5p,OIP5-AS1
hsa-miR-18a-5p,OIP5-AS1
hsa-miR-18b-5p,OIP5-AS1
hsa-miR-200a-3p,OIP5-AS1
hsa-miR-200b-3p,OIP5-AS1
hsa-miR-200c-3p,OIP5-AS1
hsa-miR-216a-5p,OIP5-AS1
hsa-miR-216b-5p,OIP5-AS1
hsa-miR-218-5p,OIP5-AS1
hsa-miR-223-3p,OIP5-AS1
hsa-miR-22-3p,OIP5-AS1
hsa-miR-25-3p,OIP5-AS1
hsa-miR-26a-5p,OIP5-AS1
hsa-miR-26b-5p,OIP5-AS1
hsa-miR-28-5p,OIP5-AS1
hsa-miR-29a-3p,OIP5-AS1
hsa-miR-29b-3p,OIP5-AS1
hsa-miR-29c-3p,OIP5-AS1
hsa-miR-300,OIP5-AS1
hsa-miR-30a-5p,OIP5-AS1
hsa-miR-30b-5p,OIP5-AS1
hsa-miR-30c-5p,OIP5-AS1
hsa-miR-30d-5p,OIP5-AS1
hsa-miR-30e-5p,OIP5-AS1
hsa-miR-320b,OIP5-AS1
hsa-miR-320c,OIP5-AS1
hsa-miR-320d,OIP5-AS1
hsa-miR-32-5p,OIP5-AS1
hsa-miR-335-5p,OIP5-AS1
hsa-miR-338-3p,OIP5-AS1
hsa-miR-340-5p,OIP5-AS1
hsa-miR-363-3p,OIP5-AS1
hsa-miR-367-3p,OIP5-AS1
hsa-miR-374a-5p,OIP5-AS1
hsa-miR-374b-5p,OIP5-AS1
hsa-miR-376a-3p,OIP5-AS1
hsa-miR-376b-3p,OIP5-AS1
hsa-miR-378a-3p,OIP5-AS1
hsa-miR-378b,OIP5-AS1
hsa-miR-378c,OIP5-AS1
hsa-miR-378e,OIP5-AS1
hsa-miR-378h,OIP5-AS1
hsa-miR-378i,OIP5-AS1
hsa-miR-381-3p,OIP5-AS1
hsa-miR-410-3p,OIP5-AS1
hsa-miR-421,OIP5-AS1
hsa-miR-422a,OIP5-AS1
hsa-miR-429,OIP5-AS1
hsa-miR-4429,OIP5-AS1
hsa-miR-448,OIP5-AS1
hsa-miR-455-5p,OIP5-AS1
hsa-miR-495-3p,OIP5-AS1
hsa-miR-543,OIP5-AS1
hsa-miR-708-5p,OIP5-AS1
hsa-miR-7-5p,OIP5-AS1
hsa-miR-92a-3p,OIP5-AS1
hsa-miR-92b-3p,OIP5-AS1
hsa-miR-128-3p,EIF3J-DT
hsa-miR-23a-3p,EIF3J-DT
hsa-miR-23b-3p,EIF3J-DT
hsa-miR-485-5p,DUT-AS1
hsa-miR-101-3p,GABPB1-AS1
hsa-miR-145-5p,IQCH-AS1
hsa-miR-15a-5p,IQCH-AS1
hsa-miR-15b-5p,IQCH-AS1
hsa-miR-16-5p,IQCH-AS1
hsa-miR-195-5p,IQCH-AS1
hsa-miR-424-5p,IQCH-AS1
hsa-miR-497-5p,IQCH-AS1
hsa-miR-18a-5p,LOXL1-AS1
hsa-miR-18b-5p,LOXL1-AS1
hsa-miR-28-5p,LOXL1-AS1
hsa-miR-374a-5p,LOXL1-AS1
hsa-miR-374b-5p,LOXL1-AS1
hsa-miR-708-5p,LOXL1-AS1
hsa-miR-144-3p,UBL7-DT
hsa-miR-197-3p,UBL7-DT
hsa-miR-873-5p,UBL7-DT
hsa-miR-539-5p,SNHG21
hsa-miR-599,SNHG21
hsa-miR-320b,NR2F2-AS1
hsa-miR-320c,NR2F2-AS1
hsa-miR-320d,NR2F2-AS1
hsa-miR-4429,NR2F2-AS1
hsa-miR-125a-3p,ALDH1A3-AS1
hsa-miR-15a-5p,ALDH1A3-AS1
hsa-miR-15b-5p,ALDH1A3-AS1
hsa-miR-16-5p,ALDH1A3-AS1
hsa-miR-195-5p,ALDH1A3-AS1
hsa-miR-27a-3p,ALDH1A3-AS1
hsa-miR-27b-3p,ALDH1A3-AS1
hsa-miR-424-5p,ALDH1A3-AS1
hsa-miR-497-5p,ALDH1A3-AS1
hsa-miR-191-5p,CEROX1
hsa-miR-150-5p,LHX1-DT
hsa-miR-134-5p,RAMP2-AS1
hsa-miR-122-5p,ASB16-AS1
hsa-miR-185-5p,ASB16-AS1
hsa-miR-370-3p,ASB16-AS1
hsa-miR-379-5p,ASB16-AS1
hsa-miR-411-5p,ASB16-AS1
hsa-miR-4306,ASB16-AS1
hsa-miR-150-5p,FMNL1-DT
hsa-miR-193a-3p,FMNL1-DT
hsa-miR-193b-3p,FMNL1-DT
hsa-miR-199a-5p,FMNL1-DT
hsa-miR-199b-5p,FMNL1-DT
hsa-miR-34a-5p,FMNL1-DT
hsa-miR-34c-5p,FMNL1-DT
hsa-miR-449a,FMNL1-DT
hsa-miR-455-5p,FMNL1-DT
hsa-miR-615-3p,FMNL1-DT
hsa-miR-141-3p,SP2-AS1
hsa-miR-200a-3p,SP2-AS1
hsa-miR-106a-5p,LINC02086
hsa-miR-106b-5p,LINC02086
hsa-miR-17-5p,LINC02086
hsa-miR-20a-5p,LINC02086
hsa-miR-20b-5p,LINC02086
hsa-miR-519d-3p,LINC02086
hsa-miR-93-5p,LINC02086
hsa-miR-23a-3p,TOB1-AS1
hsa-miR-23b-3p,TOB1-AS1
hsa-miR-27a-3p,TOB1-AS1
hsa-miR-27b-3p,TOB1-AS1
hsa-miR-134-5p,TSPOAP1-AS1
hsa-miR-361-5p,TSPOAP1-AS1
hsa-let-7a-5p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-let-7b-5p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-let-7c-5p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-let-7d-5p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-let-7e-5p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-let-7f-5p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-let-7g-5p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-let-7i-5p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-106a-5p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-106b-5p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-1271-5p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-1297,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-144-3p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-17-5p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-196a-5p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-196b-5p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-20a-5p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-20b-5p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-221-3p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-222-3p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-26a-5p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-26b-5p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-302a-3p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-302b-3p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-302c-3p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-302d-3p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-302e,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-320b,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-320c,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-320d,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-326,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-330-5p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-372-3p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-373-3p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-376c-3p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-4429,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-4458,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-495-3p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-519d-3p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-520a-3p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-520c-3p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-520d-3p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-599,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-93-5p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-96-5p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-98-5p,ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-30a-5p,SOX9-AS1
hsa-miR-30b-5p,SOX9-AS1
hsa-miR-30c-5p,SOX9-AS1
hsa-miR-30d-5p,SOX9-AS1
hsa-miR-30e-5p,SOX9-AS1
hsa-miR-150-5p,LINC00511
hsa-miR-15a-5p,LINC00511
hsa-miR-15b-5p,LINC00511
hsa-miR-16-5p,LINC00511
hsa-miR-183-5p,LINC00511
hsa-miR-195-5p,LINC00511
hsa-miR-29a-3p,LINC00511
hsa-miR-29b-3p,LINC00511
hsa-miR-29c-3p,LINC00511
hsa-miR-424-5p,LINC00511
hsa-miR-497-5p,LINC00511
hsa-let-7a-5p,SNHG16
hsa-let-7b-5p,SNHG16
hsa-let-7c-5p,SNHG16
hsa-let-7d-5p,SNHG16
hsa-let-7e-5p,SNHG16
hsa-let-7f-5p,SNHG16
hsa-let-7g-5p,SNHG16
hsa-let-7i-5p,SNHG16
hsa-miR-106a-5p,SNHG16
hsa-miR-106b-5p,SNHG16
hsa-miR-124-3p,SNHG16
hsa-miR-128-3p,SNHG16
hsa-miR-132-3p,SNHG16
hsa-miR-140-5p,SNHG16
hsa-miR-141-3p,SNHG16
hsa-miR-146a-5p,SNHG16
hsa-miR-146b-5p,SNHG16
hsa-miR-15a-5p,SNHG16
hsa-miR-15b-5p,SNHG16
hsa-miR-16-5p,SNHG16
hsa-miR-17-5p,SNHG16
hsa-miR-182-5p,SNHG16
hsa-miR-183-5p,SNHG16
hsa-miR-190a-5p,SNHG16
hsa-miR-195-5p,SNHG16
hsa-miR-196a-5p,SNHG16
hsa-miR-196b-5p,SNHG16
hsa-miR-200a-3p,SNHG16
hsa-miR-205-5p,SNHG16
hsa-miR-20a-5p,SNHG16
hsa-miR-20b-5p,SNHG16
hsa-miR-212-3p,SNHG16
hsa-miR-216a-5p,SNHG16
hsa-miR-23a-3p,SNHG16
hsa-miR-23b-3p,SNHG16
hsa-miR-302a-3p,SNHG16
hsa-miR-302b-3p,SNHG16
hsa-miR-302c-3p,SNHG16
hsa-miR-302d-3p,SNHG16
hsa-miR-302e,SNHG16
hsa-miR-31-5p,SNHG16
hsa-miR-372-3p,SNHG16
hsa-miR-373-3p,SNHG16
hsa-miR-421,SNHG16
hsa-miR-424-5p,SNHG16
hsa-miR-4458,SNHG16
hsa-miR-485-5p,SNHG16
hsa-miR-490-3p,SNHG16
hsa-miR-497-5p,SNHG16
hsa-miR-505-3p,SNHG16
hsa-miR-519d-3p,SNHG16
hsa-miR-520a-3p,SNHG16
hsa-miR-520c-3p,SNHG16
